source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
6849734656799640192,306.08158277676165,-23.475883674580718,18.075663242791713,0.1622126,-8.011047712700408,-17.05864758272662,7.6042786,1e-04,7.8258896,2.439602,19,6226.976,4.2415,-0.961,0.92,,0.11380973,0,SB1,True,True
4707634458245031552,4.447185654682732,-66.35892922123278,12.493433882602456,0.016992304,64.72879662976752,-5.137846381990582,7.605658,0.098,0.9779523,0.12532662,21,5650.196,3.8167,0.1848,0.03,-0.1,0.038713638,0,,True,True
3514974782343927040,185.91546138616732,-20.08837918383194,13.592769302086786,0.023255335,58.76701427599373,-61.914657544549215,7.613662,0.0911,0.9778699,0.12329887,28,5076.217,3.6095,-0.1,0.06,-0.09,0.028621066,0,,True,True
2343647384368388608,11.112601864577796,-26.515018438908708,29.318666489290436,0.032242514,313.5562708386514,149.32364265026257,7.624324,0.0,1.1035328,0.12527062,26,5544.7617,4.4177,-0.5036,0.13,-0.05,0.049594257,0,,True,True
5941651920460883328,246.34514691886545,-47.52912743782037,12.801496614741374,0.033164512,-28.499357942530697,-91.988329055787,7.6315107,0.0002,1.4901614,0.13750148,40,6269.785,3.9596,-0.6909,0.12,-0.12,0.14723755,0,,True,True
5482551183847322496,94.06358275950254,-59.22018874680897,15.23548732497521,0.016080061,26.93283738476994,-208.9275530888936,7.642215,0.0004,0.93722826,0.14061338,19,6264.3833,4.1766,-0.6779,0.56,0.13,0.08363637,0,,True,True
3307815006281475200,67.87268564180225,13.903399057854472,20.27674708776159,0.16559716,86.6072874406941,-6.108541034740216,7.643193,0.0,8.31893,0.2366553,22,6053.044,4.3125,-0.2866,0.21,,0.13738874,0,,True,True
4102845029464582656,278.83579801591134,-16.141119088791807,11.685480418567364,0.03145069,-3.1808562052572236,-71.0691873479563,7.6530724,0.0002,0.9606785,0.15071712,9,6364.4834,4.0418,-0.6631,0.21,-0.04,0.15459095,0,,True,True
5607942273021322880,104.93081372958287,-29.708365480922993,20.632870333083208,0.018239683,-0.4541491661184427,-124.31773837593117,7.654081,0.0,0.9936425,0.12433905,29,6028.1826,4.3218,-0.6027,0.21,-0.12,0.10796823,0,,True,True
1727457085066129664,222.63880885884114,85.49654536638941,11.57116253196691,0.018779676,-61.419489596907816,20.55346642254875,7.6642933,0.0005,0.9925781,0.1342308,19,6078.992,3.8746,-0.4423,0.1,-0.19,0.10228854,0,,True,True
4090011426635298688,278.1896328538882,-22.13821135013693,32.641954956934065,0.021024182,59.131506016708855,-70.26588490149985,7.6686435,0.0,0.8099884,0.13012123,15,5263.9014,4.4324,0.2332,-0.1,-0.1,-0.027449807,0,,True,True
